,fan_count,category,name,single_line_address,id,Date
0,0,Arts & Entertainment,Van Gogh Gucci Gang,"Museumplein 6, 1071 DJ, Nieuw-Amsterdam, Netherlands",110378430319481,2019-08-16
1,0,Arts & Entertainment,Van Gogh Gucci Gang,"Museumplein 6, 1071 DJ, Nieuw-Amsterdam, Netherlands",110378430319481,2019-08-19
2,0,Arts & Entertainment,Van Gogh Gucci Gang,"Museumplein 6, 1071 DJ, Nieuw-Amsterdam, Netherlands",110378430319481,2019-08-20
0,0,Arts & Entertainment,Van Gogh Gucci Gang,"Museumplein 6, 1071 DJ, Nieuw-Amsterdam, Netherlands",110378430319481,2019-08-21
